"man.source","scenario","incorp.sf","t.incorp.sf","app.mthd.rl","app.mthd.sf","app.rate.ni","app.timing","air.temp","wind.2m","rain.rate","ct","tan.app","man.dm","man.ph","app.mthd","id","stype","EF.field.raw","EF.stor.raw","EF.stor.lf","EF.stor.sf","N.loss.stor.sf","EF.overall","stor.frac.EF","man.dm.lf","man.ph.lf","EF.field.lf","man.dm.sf","man.ph.sf","source","rdDM.lf","dpH.lf","TAN.sep.eff.sf","id.sep","incorp","t.incorp","EF.field.sf","EFp.overall","sep","EF.type"
"Pig","ref","none",NA,"Trailing shoe","(None)",30,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,3.9,7.2,"Trailing shoe","raw 12","raw",0.1486,0.013,0.013,0.164556962025316,0.354430379746835,0.1596682,8.141884232427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.96682,FALSE,"Reference"
"Pig","ref","none",NA,"Trailing hose","(None)",30,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,3.9,7.2,"Trailing hose","raw 13","raw",0.1536,0.013,0.013,0.164556962025316,0.354430379746835,0.1646032,7.89778084508685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.46032,FALSE,"Reference"
"Pig","ref","none",NA,"Open slot injection","(None)",0,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,3.9,7.2,"Open slot injection","raw 14","raw",0.0998,0.013,0.013,0.164556962025316,0.354430379746835,0.1115026,11.6589209578969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.15026,FALSE,"Reference"
"Pig","ref","none",NA,"Trailing shoe","(None)",30,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,3.9,7.2,"Trailing shoe","raw 15","raw",0.1448,0.013,0.013,0.164556962025316,0.354430379746835,0.1559176,8.33773736896925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.59176,FALSE,"Reference"
"Cattle","sep","none",NA,"Trailing hose","Broadcast",0,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,NA,NA,"Broadcast","sep 1","sf",NA,0.017,0.017,0.0517241379310345,0.224137931034483,0.188056204560358,9.07143918303195,3.88659793814433,7.1,0.1737,15,7,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,0.171074734033793,3,"none",NA,0.4082,18.8056204560358,TRUE,"Separation"
"Cattle","sep incorp sf","deep",4,"Trailing hose","Broadcast",0,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,NA,NA,"Broadcast","sep 10","sf",NA,0.017,0.017,0.0517241379310345,0.224137931034483,0.200359750061063,8.51438685734631,3.88659793814433,7.1,0.1867,15,7,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,0.171074734033793,3,"deep",4,0.06646,20.0359750061063,TRUE,"Separation w/ SF incorporation"
"Cattle","sep incorp sf","deep",4,"Trailing hose","Broadcast",0,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,NA,NA,"Broadcast","sep 100","sf",NA,0.017,0.017,0.0517241379310345,0.224137931034483,0.188233030696552,10.3964676839552,3.32222222222222,7.3,0.1811,15,7,"Anderson et al, in prep",-48.8888888888889,0.3,7.4,11,"deep",4,0.06646,18.8233030696552,TRUE,"Separation w/ SF incorporation"
"Cattle","sep incorp sf","deep",4,"Open slot injection","Broadcast",0,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,NA,NA,"Broadcast","sep 371","sf",NA,0.017,0.017,0.0517241379310345,0.224137931034483,0.115594442296552,16.9295217123776,3.28735632183908,7.1,0.1013,15,7,"Pedersen et al. (2020)",-49.4252873563218,0.0999999999999996,7.4,67,"deep",4,0.06646,11.5594442296552,TRUE,"Separation w/ SF incorporation"
"Cattle","sep","none",NA,"Trailing hose","Broadcast",0,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,NA,NA,"Broadcast","sep 133","sf",NA,0.017,0.017,0.0517241379310345,0.224137931034483,0.266776034721839,8.07317170703817,4.02816901408451,7.3,0.2118,15,7,"Balsari et al. (2008b)",-38.0281690140845,0.3,13.0666666666667,16,"none",NA,0.6337,26.6776034721839,TRUE,"Separation"
"Cattle","sep","none",NA,"Trailing hose","Broadcast",0,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,NA,NA,"Broadcast","sep 373","sf",NA,0.017,0.017,0.0517241379310345,0.224137931034483,0.215247856896552,9.09165205593741,3.28735632183908,7.1,0.175,15,7,"Pedersen et al. (2020)",-49.4252873563218,0.0999999999999996,7.4,67,"none",NA,0.6337,21.5247856896552,TRUE,"Separation"
