"app.timing","man.source","stype","scenario","app.mthd","incorp","EFp.field.p.mean","EFp.field.mean","EFp.field.min","EFp.field.max","EFp.field.sd","EFp.field.n","EFp.field.se","EFp.field.p.qs.5","EFp.field.p.qs.95","sep","EF.type"
"Autumn","Cattle","lf","sep incorp sf","Trailing hose","none",20.4596296296296,20.4596296296296,16.84,28.78,2.89709201877368,27,0.5575456189687,19.3135781964531,21.6056810628062,TRUE,"LF"
"March","Cattle","lf","sep incorp sf","Trailing hose","none",17.787037037037,17.787037037037,15.34,22.25,1.84573482305477,27,0.355211832314447,17.0568886587604,18.5171854153137,TRUE,"LF"
"May","Cattle","lf","sep incorp sf","Trailing hose","none",20.16,20.16,16.68,27.98,2.75135071723522,27,0.529497692410275,19.0716019055572,21.2483980944428,TRUE,"LF"
"Summer","Cattle","lf","sep incorp sf","Trailing hose","none",20.8196296296296,20.8196296296296,17.02,29.77,3.08107184332072,27,0.592952552711264,19.6007982018132,22.0384610574461,TRUE,"LF"
"April","Digestate","lf","sep incorp sf","Trailing hose","none",24.7454545454545,24.7454545454545,18.97,32.17,2.93668083355713,33,0.511210515795651,23.7041528003029,25.7867562906061,TRUE,"LF"
"Autumn","Digestate","lf","sep incorp sf","Trailing hose","none",25.1348484848485,25.1348484848485,19.08,33.12,3.11852541396984,33,0.542865594102142,24.0290674552046,26.2406295144924,TRUE,"LF"
"March","Digestate","lf","sep incorp sf","Trailing hose","none",24.239696969697,24.239696969697,18.82,30.98,2.71069004688899,33,0.471870569384876,23.2785280731194,25.2008658662745,TRUE,"LF"
"May","Digestate","lf","sep incorp sf","Trailing hose","none",25.0506060606061,25.0506060606061,19.05,32.91,3.07807563604472,33,0.535824191577009,23.9591678985503,26.1420442226618,TRUE,"LF"
"Summer","Digestate","lf","sep incorp sf","Trailing hose","none",25.2333333333333,25.2333333333333,19.1,33.37,3.16643694342184,33,0.551205920842399,24.1105636140568,26.3561030526098,TRUE,"LF"
"April","Pig","lf","sep incorp sf","Trailing hose","none",12.2254166666667,12.2254166666667,11.43,13.84,0.708181867863768,24,0.144557018446444,11.9263776903179,12.5244556430154,TRUE,"LF"
"Autumn","Pig","lf","sep incorp sf","Trailing hose","none",12.4016666666667,12.4016666666667,11.54,14.18,0.767642730909921,24,0.156694416290493,12.0775195698972,12.7258137634362,TRUE,"LF"
"March","Pig","lf","sep incorp sf","Trailing hose","none",12.0033333333333,12.0033333333333,11.29,13.43,0.636639729303423,24,0.12995354056475,11.7345039526432,12.2721627140235,TRUE,"LF"
"May","Pig","lf","sep incorp sf","Trailing hose","none",12.3625,12.3625,11.52,14.1,0.752764470353169,24,0.153657404071808,12.0446354416696,12.6803645583304,TRUE,"LF"
"Summer","Pig","lf","sep incorp sf","Trailing hose","none",12.4470833333333,12.4470833333333,11.57,14.27,0.78375616864179,24,0.159983557994259,12.1161321285466,12.7780345381201,TRUE,"LF"
"April","Cattle","raw","ref","Trailing shoe","none",18.39,18.39,18.39,18.39,NA,1,NA,NA,NA,FALSE,"Raw"
"Autumn","Cattle","raw","ref","Trailing shoe","none",24.69,24.69,24.69,24.69,NA,1,NA,NA,NA,FALSE,"Raw"
"March","Cattle","raw","ref","Trailing shoe","none",14.48,14.48,14.48,14.48,NA,1,NA,NA,NA,FALSE,"Raw"
"May","Cattle","raw","ref","Trailing shoe","none",22.85,22.85,22.85,22.85,NA,1,NA,NA,NA,FALSE,"Raw"
"Summer","Cattle","raw","ref","Trailing shoe","none",27.29,27.29,27.29,27.29,NA,1,NA,NA,NA,FALSE,"Raw"
"April","Digestate","raw","ref","Trailing shoe","none",29.69,29.69,29.69,29.69,NA,1,NA,NA,NA,FALSE,"Raw"
"Autumn","Digestate","raw","ref","Trailing shoe","none",32.64,32.64,32.64,32.64,NA,1,NA,NA,NA,FALSE,"Raw"
"March","Digestate","raw","ref","Trailing shoe","none",26.67,26.67,26.67,26.67,NA,1,NA,NA,NA,FALSE,"Raw"
"May","Digestate","raw","ref","Trailing shoe","none",31.93,31.93,31.93,31.93,NA,1,NA,NA,NA,FALSE,"Raw"
"Summer","Digestate","raw","ref","Trailing shoe","none",33.51,33.51,33.51,33.51,NA,1,NA,NA,NA,FALSE,"Raw"
"April","Pig","raw","ref","Trailing shoe","none",13.26,13.26,13.26,13.26,NA,1,NA,NA,NA,FALSE,"Raw"
"Autumn","Pig","raw","ref","Trailing shoe","none",14.48,14.48,14.48,14.48,NA,1,NA,NA,NA,FALSE,"Raw"
"March","Pig","raw","ref","Trailing shoe","none",12.14,12.14,12.14,12.14,NA,1,NA,NA,NA,FALSE,"Raw"
"May","Pig","raw","ref","Trailing shoe","none",14.17,14.17,14.17,14.17,NA,1,NA,NA,NA,FALSE,"Raw"
"Summer","Pig","raw","ref","Trailing shoe","none",14.86,14.86,14.86,14.86,NA,1,NA,NA,NA,FALSE,"Raw"
"April","Cattle","lf","sep","Trailing shoe","none",16.3088888888889,16.3088888888889,14.42,19.4,1.48737593751115,27,0.286245632636079,15.7205025643225,16.8972752134553,TRUE,"LF"
"Autumn","Cattle","lf","sep","Trailing shoe","none",18.6433333333333,18.6433333333333,15.84,24.2,2.12495972812518,27,0.408948690350062,17.8027272614243,19.4839394052423,TRUE,"LF"
"March","Cattle","lf","sep","Trailing shoe","none",14.3207407407407,14.3207407407407,11.98,17.51,1.21397289896859,27,0.233629193336142,13.8405090561119,14.8009724253696,TRUE,"LF"
"May","Cattle","lf","sep","Trailing shoe","none",18.0403703703704,18.0403703703704,15.49,22.81,1.92276139861695,27,0.370035603692972,17.2797512936335,18.8009894471073,TRUE,"LF"
"Summer","Cattle","lf","sep","Trailing shoe","none",19.4222222222222,19.4222222222222,16.28,26.08,2.42350085831559,27,0.466402957643265,18.4635172125164,20.3809272319281,TRUE,"LF"
