"meas_part_dat","meas_full_dat","batch_arrangement","farm","subdat","weeksets","error"
6.48486124070389,6.97742445161465,5,"control",1,"5,9,4,8,3,7,2,10",-7.0593843663442
6.55084442269511,6.97742445161465,6,"control",1,"5,9,4,8,3,7,2,10",-6.11371763145105
6.64085827803707,6.97742445161465,7,"control",1,"5,9,4,8,3,7,2,10",-4.8236448264187
6.52109827969566,6.97742445161465,8,"control",1,"5,9,4,8,3,7,2,10",-6.54003744624407
6.41372653527331,6.97742445161465,9,"control",1,"5,9,4,8,3,7,2,10",-8.07888240496674
6.53348653361471,6.97742445161465,10,"control",1,"5,9,4,8,3,7,2,10",-6.36248978514137
6.26340678718877,6.97742445161465,11,"control",1,"5,9,4,8,3,7,2,10",-10.233255399285
6.3047953496199,6.97742445161465,12,"control",1,"5,9,4,8,3,7,2,10",-9.64007717545545
6.76942534923231,6.97742445161465,13,"control",1,"5,9,4,8,3,7,2,10",-2.98102980296991
6.72803678680117,6.97742445161465,14,"control",1,"5,9,4,8,3,7,2,10",-3.57420802679943
7.06479132621998,6.97742445161465,15,"control",1,"5,9,4,8,3,7,2,10",1.25213644678177
6.48040132826617,6.97742445161465,16,"control",1,"5,9,4,8,3,7,2,10",-7.12330354552915
6.90579294494007,6.97742445161465,17,"control",1,"5,9,4,8,3,7,2,10",-1.02661816220752
7.49018294289388,6.97742445161465,18,"control",1,"5,9,4,8,3,7,2,10",7.34882183010341
7.40016908755192,6.97742445161465,19,"control",1,"5,9,4,8,3,7,2,10",6.05874902507106
7.01616603330916,6.97742445161465,20,"control",1,"5,9,4,8,3,7,2,10",0.555241865578937
6.54923799179747,6.97742445161465,21,"control",1,"5,9,4,8,3,7,2,10",-6.13674089610663
6.93324104604024,6.97742445161465,22,"control",1,"5,9,4,8,3,7,2,10",-0.633233736614514
7.20332079246618,6.97742445161465,23,"control",1,"5,9,4,8,3,7,2,10",3.23753187752909
7.08585883602406,6.97742445161465,24,"control",1,"5,9,4,8,3,7,2,10",1.55407464690374
4.42984699378819,4.35298885478972,1,"frequentflushing",1,"5,9,4,8,3,7,2,10",1.76564061067848
4.19613980326727,4.35298885478972,2,"frequentflushing",1,"5,9,4,8,3,7,2,10",-3.60324955461037
4.24396382025608,4.35298885478972,3,"frequentflushing",1,"5,9,4,8,3,7,2,10",-2.5046017384969
4.22624595046203,4.35298885478972,4,"frequentflushing",1,"5,9,4,8,3,7,2,10",-2.91162942418818
4.35571600426173,4.35298885478972,5,"frequentflushing",1,"5,9,4,8,3,7,2,10",0.0626500448999145
4.37343387405578,4.35298885478972,6,"frequentflushing",1,"5,9,4,8,3,7,2,10",0.469677730591189
4.25462580042542,4.35298885478972,7,"frequentflushing",1,"5,9,4,8,3,7,2,10",-2.25966703902932
4.35886293714664,4.35298885478972,8,"frequentflushing",1,"5,9,4,8,3,7,2,10",0.13494365717146
4.45668171437814,4.35298885478972,9,"frequentflushing",1,"5,9,4,8,3,7,2,10",2.38210716929186
4.35244457765692,4.35298885478972,10,"frequentflushing",1,"5,9,4,8,3,7,2,10",-0.0125035269089024
4.29636794852217,4.35298885478972,11,"frequentflushing",1,"5,9,4,8,3,7,2,10",-1.30073630225932
4.18083130149661,4.35298885478972,12,"frequentflushing",1,"5,9,4,8,3,7,2,10",-3.95492750007101
4.25307906200084,4.35298885478972,13,"frequentflushing",1,"5,9,4,8,3,7,2,10",-2.2951998298582
4.36861570902639,4.35298885478972,14,"frequentflushing",1,"5,9,4,8,3,7,2,10",0.358991367953498
4.32079169203758,4.35298885478972,15,"frequentflushing",1,"5,9,4,8,3,7,2,10",-0.739656448159975
4.35278106825458,4.35298885478972,16,"frequentflushing",1,"5,9,4,8,3,7,2,10",-0.00477342217203303
4.23117563900469,4.35298885478972,17,"frequentflushing",1,"5,9,4,8,3,7,2,10",-2.79838106295608
4.1991862627877,4.35298885478972,18,"frequentflushing",1,"5,9,4,8,3,7,2,10",-3.53326408894401
4.31799433641806,4.35298885478972,19,"frequentflushing",1,"5,9,4,8,3,7,2,10",-0.803919319323521
4.3240631186424,4.35298885478972,20,"frequentflushing",1,"5,9,4,8,3,7,2,10",-0.66450287635117
4.12234530433847,4.35298885478972,21,"frequentflushing",1,"5,9,4,8,3,7,2,10",-5.29851001565207
4.11627652211414,4.35298885478972,22,"frequentflushing",1,"5,9,4,8,3,7,2,10",-5.43792645862443
4.17235315124889,4.35298885478972,23,"frequentflushing",1,"5,9,4,8,3,7,2,10",-4.14969368327401
4.40606034176981,4.35298885478972,24,"frequentflushing",1,"5,9,4,8,3,7,2,10",1.21919648201485
22.7438760412721,23.1006588598083,1,"section5",1,"5,9,4,8,3,7,2,10",-1.54447031446799
22.9796790176301,23.5568758909784,1,"section5",2,"5,9,4,8,3,7,2,10",-2.45022674491987
22.6964115294983,22.656088982581,1,"section5",3,"5,9,4,8,3,7,2,10",0.17797664437309
24.0555093649969,23.1006588598083,2,"section5",1,"5,9,4,8,3,7,2,10",4.13343407641864
24.7257659287051,23.5568758909784,2,"section5",2,"5,9,4,8,3,7,2,10",4.96199089869245
22.6964115294983,22.656088982581,2,"section5",3,"5,9,4,8,3,7,2,10",0.17797664437309
24.3463096556941,23.1006588598083,3,"section5",1,"5,9,4,8,3,7,2,10",5.39227388900594
24.7257659287051,23.5568758909784,3,"section5",2,"5,9,4,8,3,7,2,10",4.96199089869245
24.7114281925643,22.656088982581,3,"section5",3,"5,9,4,8,3,7,2,10",9.07190650409089
24.3463096556941,23.1006588598083,4,"section5",1,"5,9,4,8,3,7,2,10",5.39227388900594
25.312626580311,23.5568758909784,4,"section5",2,"5,9,4,8,3,7,2,10",7.45324081791761
22.1964079831507,22.656088982581,4,"section5",3,"5,9,4,8,3,7,2,10",-2.0289512447789
